ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_2DV1bP2p06kVt52,66.188.55.19,7/1/2016 14:48:34,7/1/2016 14:50:00,1,1,1,0,0,0,1,0,0,0,0,5,4,6,5,5,6,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,5,3,30,White,1, ,0,.5,0,0,5.5,4.5,6,6.5,0,5.75,5.5,.25,2.875,2.875
R_2rIw4hfVJ8HJHXf,108.217.72.81,7/1/2016 17:18:47,7/1/2016 17:20:23,1,1,1,7,7,7,7,7,7,7,7,6,5,7,7,6,6,7,6, , , , , , , , , , , , , , , , ,2, ,1, ,4,1,35,white,1, ,7,7,7,7,6.5,6,6.5,6,7,6.5,6,7,6.5,6.75
R_ypPZkIpT2F0kFmp,207.144.238.112,7/1/2016 17:29:16,7/1/2016 17:32:50,1,1,1,5,0,6,0,7,0,7,0,0,7,0,7,0,7,0,7, , , , , , , , , , , , , , , , ,3, ,1, ,4,4,32,White,1, ,5.5,0,7,0,0,7,0,7,6.25,0,7,0,3.5,3.125
R_3hcnPCXztBCaFQd,162.225.150.26,7/1/2016 17:12:23,7/1/2016 17:14:10,1,1,1,5,2,7,3,3,2,6,3,3,4,4,5,2,6,1,6, , , , , , , , , , , , , , , , ,4, ,1, ,4,5,21,Asian,1, ,6,2.5,4.5,2.5,3.5,4.5,1.5,6,5.25,2.5,5.25,2.5,3.875,3.875
R_2BllmnYsEZUmwmq,104.246.101.77,7/1/2016 15:26:23,7/1/2016 15:30:43,1,1,1,4,1,4,1,5,0,4,0,6,3,7,3,6,6,7,7, , , , , , , , , , , , , , , , ,7, ,1, ,6,1,26,Caucasian,2,"No, I do not.",4,1,4.5,0,6.5,3,6.5,6.5,4.25,6.5,4.75,.5,2.625,5.375
R_3lt4HNxCcqF11PS,73.33.70.74,7/1/2016 16:36:23,7/1/2016 16:40:39,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,5, ,1, ,5,6,62,caucasion,2, ,7,7,7,7,7,7,7,7,7,7,7,7,7,7
R_1IYQHWX6JbJEPlm,68.112.214.215,7/1/2016 14:48:42,7/1/2016 14:50:11,1,1,1,0,0,0,0,0,0,0,0,6,4,6,6,6,6,6,6, , , , , , , , , , , , , , , , ,3, ,1, ,2,1,40,white,1,no,0,0,0,0,6,5,6,6,0,6,5.5,0,2.75,3
R_rcnOEYiDUYL0hWh,130.47.240.44,7/1/2016 15:02:16,7/1/2016 15:04:08,1,1,1,6,6,6,5,6,6,6,6,1,0,0,1,1,2,1,1, , , , , , , , , , , , , , , , ,4, ,1, ,4,2,36,white,2,none,6,5.5,6,6,.5,.5,1,1.5,6,.75,1,5.75,3.375,3.375
R_2SCV5C5pgOAwjyT,204.60.84.2,7/1/2016 15:37:36,7/1/2016 15:39:48,1,1,1,0,0,0,0,0,0,0,0,7,3,7,1,7,4,7,7, , , , , , , , , , , , , , , , ,2, ,1, ,4,3,22,White,2,no,0,0,0,0,7,2,7,5.5,0,7,3.75,0,1.875,3.5
R_xcr1FbLrvGGaWNX,173.217.107.69,7/1/2016 18:15:56,7/1/2016 18:21:50,1,1,1,6,5,6,5,6,5,6,4,5,6,5,4,6,5,5,6, , , , , , , , , , , , , , , , ,4, ,1, ,2,6,37,black,2, ,6,5,6,4.5,5,5,5.5,5.5,6,5.25,5.25,4.75,5,5.625
R_3JDUF61ilysAs7O,97.84.67.120,7/1/2016 18:24:09,7/1/2016 18:25:51,1,1,1,2,1,0,0,0,0,0,0,3,4,5,6,5,6,6,7, , , , , , , , , , , , , , , , ,3, ,1, ,5,1,23,White/Japanese,1, ,1,.5,0,0,4,5,5.5,6.5,.5,4.75,5.75,.25,3,2.625
R_1kGhh611zxWcpnH,74.197.85.77,7/1/2016 18:39:34,7/1/2016 18:41:50,1,1,1,0,0,0,0,0,0,0,0,5,4,6,4,7,7,7,7, , , , , , , , , , , , , , , , ,3, ,1, ,7,1,26,White,1, ,0,0,0,0,5.5,4,7,7,0,6.25,5.5,0,2.75,3.125
R_W26iM9whlNZKV1L,104.173.73.35,7/1/2016 16:41:15,7/1/2016 16:44:13,1,1,1,0,0,0,0,2,0,0,0,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,6,6,46,African American,2, ,0,0,1,0,7,7,7,7,.5,7,7,0,3.5,3.75
